name,description,period,start,end,scaling_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2023,20230101,20231231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.044188,-0.016569,-0.109973,0.3933,150,242,-0.044062
vol_scale_lb10_beta0p5,"波动率缩放 lookback=10 天, beta=0.5",2024,20240101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.004959,0.009317,-0.158362,0.4402,234,242,-0.030274
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2019,20190101,20191231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.215416,0.00805,-0.128566,0.6184,152,244,-0.024092
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2020,20200101,20201231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.05737,-0.161537,-0.136346,0.3625,80,243,-0.195623
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2021,20210101,20211231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.116458,-0.005241,-0.085784,0.6343,134,243,-0.026687
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2022,20220101,20221231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.098402,0.063619,-0.112175,0.3817,186,242,0.035575
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2023,20230101,20231231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.041612,-0.013992,-0.106762,0.4362,149,242,-0.040682
vol_scale_lb10_beta1p0,"波动率缩放 lookback=10 天, beta=1.0",2024,20240101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=1.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta1p0"", ""scaling_beta"": 1.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.019403,0.023761,-0.152188,0.4658,234,242,-0.014286
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2019,20190101,20191231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.166543,-0.040823,-0.136485,0.4932,294,244,-0.074944
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2020,20200101,20201231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.068943,-0.173109,-0.138645,0.3982,221,243,-0.20777
