bond_id,name,meeting_date,before_price,after_price,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
123227,雅创转债,2024-06-27,53.340,45.220,123.18,124.4,122.3,121.16,118.22,114.48,116.25,116.37,120.2,121.9,123.9,124.5,123.06,124.0,121.27,120.24,134.52,124.52,122.5,119.95,118.92,121.31,122.93,123.83,125.19,126.5,123.85,122.5,122.82,120.2,121.3,120.41,118.47,119.05,118.82,118.27,115.95,115.89,114.2,114.5,114.59,115.75,115.84,113.26,115.05,116.31,118.26,115.72,115.91,115.35,115.92,115.5,115.5,114.99,114.19,113.83,112.8,111.15,112.23,111.53,113.34
123228,震裕转债,2024-03-13,61.570,54.580,113.7,116.3,117.77,121.32,120.2,120.78,120.21,119.38,116.6,116.33,113.72,114.33,116.8,119.56,120.35,119.9,119.1,121.2,122.13,125.9,127.8,126.93,122.68,126.21,126.83,124.86,123.56,125.57,126.0,127.39,126.21,129.18,129.6,133.15,131.61,131.32,134.09,133.14,130.6,130.2,130.3,128.99,128.61,130.34,128.43,128.63,126.83,127.64,127.47,127.3,126.28,126.0,126.21,125.06,126.25,125.05,123.34,123.12,125.63,125.91,124.5
113678,中贝转债,2024-07-11,32.880,27.450,120.32,120.4,120.65,121.52,118.98,118.31,119.19,118.04,115.73,113.7,113.7,115.63,116.29,119.67,120.3,120.7,118.96,116.15,116.43,117.35,116.1,116.0,113.98,113.5,113.91,113.29,112.1,112.61,112.05,111.65,111.55,113.31,114.14,112.76,113.03,114.04,115.62,113.55,113.58,113.15,113.97,113.4,112.64,113.15,112.24,111.76,111.35,109.58,109.93,109.94,110.96,113.63,114.83,115.68,118.74,122.88,128.73,121.07,121.75,117.99,120.0
123226,中富转债,2024-05-17,36.440,27.930,122.58,123.2,122.93,123.4,122.1,122.07,121.59,123.0,122.38,122.94,123.2,128.84,126.15,126.17,128.85,127.43,130.7,131.16,129.69,128.16,130.36,132.18,130.66,128.36,129.0,129.02,124.88,127.56,127.71,129.27,129.5,127.01,122.65,119.8,120.25,118.0,122.14,120.82,124.34,122.8,121.23,122.08,119.8,118.4,120.39,119.05,116.1,114.0,113.36,115.9,115.23,115.32,116.9,116.16,113.91,110.3,110.3,111.2,110.25,110.4,109.89
123225,翔丰转债,2024-03-12,33.630,27.800,114.99,117.9,116.06,116.61,118.92,118.4,118.64,118.13,116.12,117.97,123.0,119.1,122.7,125.9,131.61,143.0,136.4,134.2,159.07,148.3,144.0,135.65,126.8,122.7,127.43,128.3,126.2,122.02,122.78,124.8,127.6,128.3,127.8,124.95,128.95,128.55,126.08,132.8,130.2,127.8,128.33,127.5,126.34,126.9,126.76,126.3,127.1,124.55,123.33,125.35,123.12,125.6,126.4,126.25,123.57,124.5,123.89,122.55,121.4,122.3,122.46
118045,盟升转债,2024-09-27,35.020,21.100,106.88,114.44,137.33,129.5,128.18,122.79,128.93,130.07,133.32,131.01,134.39,153.69,149.18,156.66,153.91,150.82,149.04,141.1,138.35,145.0,138.97,141.14,152.44,155.64,161.18,184.04,191.96,192.83,184.06,175.91,179.34,169.06,170.96,169.41,169.95,161.57,161.44,163.35,171.0,175.38,175.19,173.04,169.36,165.41,167.91,167.44,165.41,168.44,169.16,186.13,188.47,180.1,173.32,177.1,180.92,181.58,172.59,174.15,170.12,174.14,180.63
118044,赛特转债,2024-10-24,24.200,19.000,119.38,113.35,113.83,109.58,108.07,106.89,106.01,107.0,108.03,108.05,109.21,108.4,111.1,111.41,110.53,110.25,109.36,106.96,107.66,109.02,108.94,108.02,107.3,108.0,108.18,108.92,109.64,111.19,112.33,110.67,112.27,112.14,111.57,112.74,113.18,113.87,113.73,112.72,111.42,112.0,111.16,111.42,110.25,110.29,110.47,110.97,110.5,110.28,109.11,108.58,108.45,108.35,109.54,108.65,109.36,110.04,110.0,110.39,111.45,111.39,112.2
123224,宇邦转债,2024-05-13,52.900,37.210,120.2,123.56,123.31,122.75,122.32,122.37,123.29,125.99,124.08,122.65,122.0,122.25,122.82,122.63,122.68,120.16,121.7,120.02,118.11,117.0,118.3,119.9,118.8,119.06,117.9,118.57,117.6,114.34,114.36,110.4,109.83,112.67,111.6,111.69,112.69,112.1,111.0,107.2,107.7,103.23,105.2,106.1,109.1,108.96,106.56,107.18,104.6,104.56,106.25,105.43,103.38,102.21,104.1,105.24,103.85,104.16,106.8,106.49,105.2,104.49,107.2
113676,荣23转债,2024-01-17,15.740,12.060,118.6,118.0,118.73,115.0,116.0,115.42,117.8,118.06,116.19,114.72,112.53,112.39,110.99,108.7,111.86,109.58,113.1,114.95,116.03,116.97,116.68,117.77,118.08,118.5,114.06,115.4,116.92,116.2,113.89,114.61,114.21,114.43,116.21,116.56,116.57,117.5,117.9,118.37,118.5,119.69,118.81,118.41,117.83,117.6,114.57,115.94,118.6,121.84,121.99,120.77,118.46,120.22,118.89,119.93,120.19,116.78,114.48,116.17,117.24,116.74,115.89
123220,易瑞转债,2024-09-18,12.870,8.890,90.8,93.5,93.2,93.1,94.77,97.1,98.59,104.05,109.7,117.8,109.14,109.3,106.3,108.74,108.81,108.97,109.26,111.9,112.9,115.0,113.55,112.35,114.8,115.8,113.81,112.65,113.6,110.53,112.42,113.69,113.78,115.1,114.5,117.0,116.68,116.46,114.74,113.69,110.28,112.19,114.97,114.85,111.88,113.8,123.6,125.75,123.62,122.51,123.02,121.77,119.35,120.63,122.25,124.72,123.58,124.4,125.72,123.64,121.61,119.31,120.62
