name,description,period,start,end,overrides_json,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,stop_signal_threshold,cost_model_enabled,slippage_pct,market_impact_coeff,market_impact_cap_pct,holding_cost_pct,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2019,20190101,20191231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.3249,0.117534,-0.117952,0.6014,148,244,0.088046
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2020,20200101,20201231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.111497,-0.215664,-0.192973,0.2727,88,243,-0.263907
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2021,20210101,20211231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.067635,-0.054064,-0.090006,0.6378,127,243,-0.076566
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2022,20220101,20221231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.149642,0.012379,-0.160361,0.3512,168,242,-0.027711
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2023,20230101,20231231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.061785,-0.034166,-0.143442,0.3576,165,242,-0.070026
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,2024,20240101,20241231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.008869,-0.00451,-0.179769,0.4535,269,242,-0.049452
vol_70,止损复查时波动价值按 70% 估,2019,20190101,20191231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.343749,0.136383,-0.118065,0.6395,147,244,0.106867
vol_70,止损复查时波动价值按 70% 估,2020,20200101,20201231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.107764,-0.211931,-0.191184,0.3125,96,243,-0.259727
vol_70,止损复查时波动价值按 70% 估,2021,20210101,20211231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.091993,-0.029705,-0.084221,0.6017,118,243,-0.05076
vol_70,止损复查时波动价值按 70% 估,2022,20220101,20221231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.153119,0.008902,-0.16379,0.3653,167,242,-0.032045
vol_70,止损复查时波动价值按 70% 估,2023,20230101,20231231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.067267,-0.039648,-0.143023,0.3625,160,242,-0.075404
vol_70,止损复查时波动价值按 70% 估,2024,20240101,20241231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.007771,-0.003412,-0.177958,0.4389,262,242,-0.047901
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2019,20190101,20191231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.329012,0.121646,-0.118065,0.6233,146,244,0.09213
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2020,20200101,20201231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.114114,-0.218281,-0.196946,0.2841,88,243,-0.267518
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2021,20210101,20211231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.052669,-0.06903,-0.084221,0.6421,95,243,-0.090085
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2022,20220101,20221231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.152598,0.009423,-0.163222,0.3313,166,242,-0.031383
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2023,20230101,20231231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.059137,-0.031517,-0.143023,0.3642,162,242,-0.067273
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,2024,20240101,20241231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,-0.006726,-0.002368,-0.175667,0.4427,262,242,-0.046285
