candidate,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.0,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.0,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.005,0.03,180.0,0.0,-0.019087,-0.291402,-0.33065,0.4246,358,1456,-0.374065
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.0,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.005,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.0,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.005,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,180.0,0.0,-0.035154,-0.307469,-0.341212,0.4181,476,1456,-0.392772
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.0,0.0,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.0,0.005,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.0,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.005,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.0,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.005,0.02,180.0,0.0,-0.048926,-0.32124,-0.342749,0.4201,407,1456,-0.406927
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.0,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,90.0,0.0,-0.049473,-0.321787,-0.3508,0.4126,429,1456,-0.409487
