trade_date,n_bonds,valid_returns,min_bond_return,median_bond_return,drop_share_0p03,drop_share_0p05,drop_share_0p07,missing_return_ratio
20190102,111,0,,,0.0,0.0,0.0,1.0
20190103,111,111,-0.015973806925290157,0.001031881961213843,0.0,0.0,0.0,0.0
20190104,111,111,-0.007925659472422075,0.006958250497017815,0.0,0.0,0.0,0.0
20190107,112,111,-0.002974191691451633,0.008514221556886303,0.0,0.0,0.0,0.008928571428571397
20190108,112,112,-0.00924999999999998,0.0016105241180094376,0.0,0.0,0.0,0.0
20190109,113,112,-0.03437842064112595,0.005050452647231696,0.008849557522123894,0.0,0.0,0.008849557522123908
20190110,113,113,-0.0413133006690215,0.001331148883882971,0.008849557522123894,0.0,0.0,0.0
20190111,114,113,-0.01801935964259138,0.0026492613047610636,0.0,0.0,0.0,0.00877192982456143
20190114,114,114,-0.042108066774922515,-0.0023291245422443208,0.008771929824561403,0.0,0.0,0.0
20190115,114,114,-0.01342738166057622,0.003379772113820456,0.0,0.0,0.0,0.0
20190116,114,114,-0.011571046795928797,0.0005035186071428166,0.0,0.0,0.0,0.0
20190117,114,114,-0.04023267086766846,-0.0025480187868324178,0.008771929824561403,0.0,0.0,0.0
20190118,115,114,-0.0326440177252586,0.0009839714060974059,0.017391304347826087,0.0,0.0,0.008695652173912993
20190121,117,115,-0.041461889017960885,0.00028574149919036174,0.008547008547008548,0.0,0.0,0.017094017094017144
20190122,117,117,-0.0517037786774629,-0.002055785123966869,0.008547008547008548,0.008547008547008548,0.0,0.0
20190123,118,117,-0.012215194459684553,0.0006268895157783838,0.0,0.0,0.0,0.008474576271186418
20190124,118,118,-0.017687872569139063,0.0035800010884007305,0.0,0.0,0.0,0.0
20190125,118,118,-0.04892468511695647,0.003980623791680293,0.00847457627118644,0.0,0.0,0.0
20190128,118,118,-0.027522864971250005,-0.003066772533910578,0.0,0.0,0.0,0.0
20190129,117,117,-0.02884676692140231,-0.004004004004004025,0.0,0.0,0.0,0.0
20190130,117,117,-0.026363200766650552,-0.000506286389334254,0.0,0.0,0.0,0.0
20190131,117,117,-0.0405724042605089,-8.696408383335186e-05,0.008547008547008548,0.0,0.0,0.0
20190201,116,116,-0.00022947679291207557,0.008841658804161545,0.0,0.0,0.0,0.0
20190211,117,117,-0.009794776119402937,0.008563273073263655,0.0,0.0,0.0,0.0
20190212,117,117,-0.03635145322053779,0.00492307692307703,0.008547008547008548,0.0,0.0,0.0
20190213,117,117,-0.011268512556342647,0.007445708376421889,0.0,0.0,0.0,0.0
20190214,117,117,-0.014276801779401382,0.0023359702187062403,0.0,0.0,0.0,0.0
20190215,117,117,-0.0239797438188859,-0.0028092608737770863,0.0,0.0,0.0,0.0
20190218,119,117,-0.005788951372808437,0.012717948717948735,0.0,0.0,0.0,0.01680672268907568
20190219,120,119,-0.026617867243387106,-0.004234724742891771,0.0,0.0,0.0,0.008333333333333304
