candidate,leave_year,year,cb_code,cb_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,holding_days,exit_reason,entry_gap_amount,entry_gap_pct
medium_baseline,,2019,113020.SH,桐昆转债,20190102,20190104,99.58,100.6,0.010243,288.94,2,switch_value_gap,4693.68,0.156456
medium_baseline,,2019,128026.SZ,众兴转债,20190102,20190108,87.1,88.9,0.020666,601.04,6,switch_value_gap,5116.77,0.170559
medium_baseline,,2019,128048.SZ,张行转债,20190102,20190109,98.8,103.0,0.04251,1254.26,7,switch_value_gap,4409.52,0.146984
medium_baseline,,2019,123017.SZ,寒锐转债,20190102,20190111,96.2,98.301,0.02184,635.26,9,switch_value_gap,5098.57,0.169952
medium_baseline,,2019,110043.SH,无锡转债,20190102,20190118,97.21,98.8,0.016356,471.61,16,switch_value_gap,4675.81,0.15586
medium_baseline,,2019,127005.SZ,长证转债,20190102,20190121,98.5,102.7,0.04264,1258.45,19,switch_value_gap,4717.43,0.157248
medium_baseline,,2019,123002.SZ,国祯转债,20190111,20190122,107.3,107.087,-0.001985,-80.7,11,switch_value_gap,4491.52,0.149717
medium_baseline,,2019,110045.SH,海澜转债,20190102,20190124,98.3,100.21,0.01943,564.39,22,switch_value_gap,6103.67,0.203456
medium_baseline,,2019,113020.SH,桐昆转债,20190118,20190129,103.02,105.82,0.027179,829.42,11,switch_value_gap,3631.68,0.121056
medium_baseline,,2019,110050.SH,佳都转债,20190122,20190219,105.23,119.11,0.131902,10331.9,28,switch_value_gap,15211.21,0.19014
medium_baseline,,2019,113519.SH,长久转债,20190102,20190222,98.65,108.0,0.09478,2814.27,51,switch_value_gap,8846.9,0.294897
medium_baseline,,2019,127008.SZ,特发转债,20190102,20190225,104.25,225.5,1.16307,34770.36,54,value_repaired,7142.38,0.238079
medium_baseline,,2019,128033.SZ,迪龙转债,20190225,20190226,100.6,101.6,0.00994,604.0,1,switch_value_gap,8681.45,0.108518
medium_baseline,,2019,128032.SZ,双环转债,20190102,20190227,91.001,100.0,0.098889,2941.82,56,switch_value_gap,5454.13,0.181804
medium_baseline,,2019,113527.SH,维格转债,20190219,20190304,106.13,108.25,0.019976,1691.83,13,switch_value_gap,9053.05,0.113163
medium_baseline,,2019,128038.SZ,利欧转债,20190102,20190306,89.301,127.13,0.423612,12650.96,63,switch_value_gap,7233.49,0.241116
medium_baseline,,2019,128040.SZ,华通转债,20190227,20190307,99.2,104.0,0.048387,1573.36,8,switch_value_gap,11514.24,0.143928
medium_baseline,,2019,113524.SH,奇精转债,20190107,20190321,95.92,111.43,0.161697,4943.29,73,switch_value_gap,8206.16,0.273539
medium_baseline,,2019,123003.SZ,蓝思转债,20190222,20190322,98.156,106.61,0.086128,2937.4,28,switch_value_gap,9393.29,0.117416
medium_baseline,,2019,127008.SZ,特发转债,20190226,20190326,166.111,177.993,0.07153,4629.06,28,switch_value_gap,18975.13,0.237189
medium_baseline,,2019,113502.SH,嘉澳转债,20190129,20190329,92.21,100.75,0.092615,2951.77,59,switch_value_gap,9971.09,0.124639
medium_baseline,,2019,128038.SZ,利欧转债,20190321,20190401,130.514,145.5,0.114823,4068.57,11,switch_value_gap,11371.99,0.14215
medium_baseline,,2019,123012.SZ,万顺转债,20190102,20190402,93.41,127.4,0.36388,10889.53,90,switch_value_gap,5243.76,0.174792
medium_baseline,,2019,127005.SZ,长证转债,20190306,20190404,118.0,124.003,0.050873,2140.87,29,switch_value_gap,8330.68,0.104134
medium_baseline,,2019,128040.SZ,华通转债,20190402,20190408,110.51,110.51,0.0,-24.53,6,switch_value_gap,13285.56,0.16607
medium_baseline,,2019,127008.SZ,特发转债,20190326,20190412,177.993,181.311,0.018641,1261.61,17,switch_value_gap,18961.88,0.237024
medium_baseline,,2019,123007.SZ,道氏转债,20190102,20190416,95.544,120.01,0.256071,7637.62,104,switch_value_gap,8770.43,0.292348
medium_baseline,,2019,128052.SZ,凯龙转债,20190121,20190417,105.86,245.0,1.314377,109420.34,86,switch_value_gap,17625.79,0.220322
medium_baseline,,2019,128038.SZ,利欧转债,20190408,20190418,134.765,125.008,-0.0724,-2989.82,10,switch_value_gap,10923.13,0.136539
medium_baseline,,2019,113527.SH,维格转债,20190404,20190419,119.56,115.75,-0.031867,-1451.34,15,switch_value_gap,12941.85,0.161773
medium_baseline,,2019,110050.SH,佳都转债,20190304,20190423,133.55,128.73,-0.036091,-3262.52,50,switch_value_gap,10925.37,0.136567
medium_baseline,,2019,127008.SZ,特发转债,20190423,20190424,213.5,218.902,0.025302,2114.18,1,switch_value_gap,17608.57,0.220107
medium_baseline,,2019,113519.SH,长久转债,20190322,20190425,125.89,110.12,-0.125268,-4688.88,34,stop_loss_switch_value_gap,14781.81,0.184773
medium_baseline,,2019,113020.SH,桐昆转债,20190412,20190508,127.71,116.69,-0.086289,-6178.98,26,stop_loss_switch_value_gap,14330.49,0.179131
medium_baseline,,2019,128018.SZ,时达转债,20190102,20190515,87.022,98.615,0.133219,3968.83,133,switch_value_gap,9149.66,0.304989
medium_baseline,,2019,110031.SH,航信转债,20190102,20190516,105.81,109.73,0.037048,1091.06,134,switch_value_gap,7464.28,0.248809
medium_baseline,,2019,128014.SZ,永东转债,20190108,20190517,94.029,97.035,0.031969,964.22,129,switch_value_gap,8027.97,0.267599
medium_baseline,,2019,128052.SZ,凯龙转债,20190419,20190524,222.0,172.191,-0.224365,-13530.29,35,stop_loss_value_gone,28144.59,0.351807
medium_baseline,,2019,110038.SH,济川转债,20190102,20190524,103.26,107.46,0.040674,1199.67,142,switch_value_gap,8091.87,0.269729
medium_baseline,,2019,128051.SZ,光华转债,20190109,20190524,99.866,97.0,-0.028698,-906.77,135,switch_value_gap,13244.78,0.441493
