name,exit_reason,count,avg_pnl_pct,sum_pnl_amount,wins
ratio_1p4_signal_0,stop_loss_switch_value_gap,3,-0.108851,-20621.38,0
ratio_1p4_signal_0,stop_loss_value_gone,4,-0.09566,-30169.48,0
ratio_1p4_signal_0,switch_value_gap,4,-0.007561,766.67,1
ratio_1p4_signal_0,value_repaired,1,0.043878,718.99,1
ratio_1p4_signal_1,end_of_period,30,0.010199,12532.61,19
ratio_1p4_signal_1,force_redemption,1,0.032351,2472.53,1
ratio_1p4_signal_1,max_holding_days,25,0.015024,-7462.29,10
ratio_1p4_signal_1,stop_loss_switch_value_gap,5,-0.116171,-45846.36,0
ratio_1p4_signal_1,stop_loss_value_gone,4,-0.086835,-19356.8,0
ratio_1p4_signal_1,switch_value_gap,8,0.015994,5853.48,4
ratio_1p4_signal_2,end_of_period,30,0.018793,18029.59,25
ratio_1p4_signal_2,force_redemption,1,0.012522,358.91,1
ratio_1p4_signal_2,max_holding_days,25,0.023414,21597.57,12
ratio_1p4_signal_2,stop_loss_switch_value_gap,5,-0.099365,-26891.05,0
ratio_1p4_signal_2,stop_loss_value_gone,5,-0.088787,-31846.32,0
ratio_1p4_signal_2,switch_value_gap,2,0.128702,7403.58,2
option_share_max_0p9,end_of_period,12,-0.005223,-6460.99,9
option_share_max_0p9,value_repaired,9,0.082932,57759.12,8
option_share_max_0p95,end_of_period,12,0.000128,-16.76,10
option_share_max_0p95,max_holding_days,2,0.185882,7373.65,1
option_share_max_0p95,value_repaired,9,0.082932,57783.0,8
