event_date,event_label,year,n_bonds,valid_returns,missing_return_ratio,pool_mean_return,pool_median_return,pool_min_return,pool_p10_return,breadth_drop3_share,breadth_drop5_share,breadth_drop7_share,pool_mean_le_m1pct,baseline_equity,baseline_strategy_return_t,baseline_benchmark_return_t,baseline_daily_excess_t,baseline_excess_pre5,baseline_excess_pre10,baseline_excess_pre20,baseline_excess_post5,baseline_excess_post10,baseline_excess_post30,baseline_strategy_return_post30,baseline_benchmark_return_post30,pool_mean_pre5,pool_mean_pre10,pool_mean_pre20,pool_mean_post5,pool_mean_post10,pool_mean_post30,drop3_max_pre5,drop5_max_pre5,drop7_max_pre5,pool_vol_pre20,pool_vol_post30,baseline_open_positions_on_day,baseline_entry_count_t_to_t5,baseline_entry_count_t1_to_t5,baseline_entry_unique_bonds_t_to_t5,baseline_entry_eventual_pnl_t_to_t5,next5_trading_dates,pool_mean_abs_vs_20200123,breadth_drop3_vs_20200123,breadth_drop5_vs_20200123,breadth_drop7_vs_20200123
20200123,true_panic,2020,224,221,0.013393,-0.0189199076,-0.017077215,-0.0853242321,-0.0415541077,0.2008928571,0.0625,0.0133928571,1,999834.208489,-0.0178151258,-0.0201563642,0.0023412385,-0.0130647887,-0.0240428193,-0.0345570459,-0.0169321552,-0.0115923121,-0.0382211422,0.0083041092,0.0465252508,0.0109837846,0.0235029892,0.0605040142,0.0099227023,0.0321145765,0.0636410184,0.0229357798,0.0046511628,0.0046511628,0.0053910132,0.0145069113,13,0,0,0,0.0,"20200123,20200203,20200204,20200205,20200206,20200207",1.0,1.0,1.0,1.0
20240122,false_positive_2024,2024,547,547,0.0,-0.0220656848,-0.0222262874,-0.0714948932,-0.0381630058,0.2888482633,0.0237659963,0.0018281536,1,949411.094866,-0.0176353339,-0.0232160195,0.0055806856,0.0053661536,0.0065466798,0.0168017418,-0.0008806454,0.020350141,0.001411486,0.0164461623,0.0150346766,-0.0253006096,-0.0274969372,-0.0291849598,0.002956461,-0.0491119242,0.0159890692,0.0533088235,0.0055248619,0.0018450185,0.0066654453,0.0100527655,30,1,1,1,-104.75,"20240122,20240123,20240124,20240125,20240126,20240129",1.166268,1.437822,0.380256,0.136502
20240205,false_positive_2024,2024,545,545,0.0,-0.0172454494,-0.0140577542,-0.0719895288,-0.0397047748,0.2036697248,0.0366972477,0.0073394495,1,919755.691508,-0.010018579,-0.0174489619,0.0074303829,0.017676607,0.0185004437,0.0250471235,-0.007460157,-0.0108495012,-0.0294348828,0.0453770377,0.0748119208,-0.0484107058,-0.0539321596,-0.0814290968,0.0486059886,0.070435333,0.0719987422,0.1119266055,0.0183486239,0.0055045872,0.0088394769,0.0076903551,30,1,1,1,1274.6,"20240205,20240206,20240207,20240208,20240219,20240220",0.911498,1.013823,0.587156,0.548012
20240228,false_positive_2024,2024,544,544,0.0,-0.021977533,-0.0211496374,-0.1027127305,-0.0455063495,0.3290441176,0.0680147059,0.0055147059,1,958995.275807,-0.0168305656,-0.0222884434,0.0054578778,-0.0033893442,-0.0108495012,0.0095006398,-0.0122130813,-0.0140509346,-0.0197261956,0.0097343569,0.0294605527,0.0218293445,0.070435333,0.0213234089,0.0065237272,0.0174797889,0.0323075786,0.0128440367,0.0036697248,0.0036697248,0.0105257825,0.0055839373,29,3,3,3,-4080.97,"20240228,20240229,20240301,20240304,20240305,20240306",1.161609,1.637908,1.088235,0.411765
20240624,false_positive_2024,2024,531,531,0.0,-0.021820951,-0.0199963729,-0.199996879,-0.0434872055,0.2730696798,0.065913371,0.0282485876,1,890566.587515,-0.0218159118,-0.0210212256,-0.0007946862,-0.0235501905,-0.030151972,-0.0390694654,0.0180408703,0.01408222,0.0055284938,-0.02104302,-0.0265715138,-0.0309874187,-0.0241514534,-0.044951962,0.0320683742,0.0091599908,-0.0152339672,0.0958646617,0.0357142857,0.0187969925,0.0052880324,0.0091299447,34,13,9,13,11900.29,"20240624,20240625,20240626,20240627,20240628,20240701",1.153333,1.35928,1.054614,2.109228
20241009,false_positive_2024,2024,535,535,0.0,-0.0430171447,-0.0432015823,-0.1999976745,-0.0728673505,0.723364486,0.3719626168,0.1289719626,1,934380.590777,-0.0408132837,-0.0433358094,0.0025225257,0.0003206832,-0.0040357626,0.0079363812,0.0024332991,0.0171916293,0.0186146119,0.0759796089,0.0573649973,0.1042936551,0.1237900055,0.1020571756,0.0064636943,0.0390120856,0.0629288486,0.0037453184,0.0037453184,0.0037313433,0.0128349946,0.009435826,31,2,1,2,2752.22,"20241009,20241010,20241011,20241014,20241015,20241016",2.273645,3.600748,5.951402,9.629907
