name,kind,breadth_drop_threshold,breadth_panic_ratio,breadth_risk_recovery_days,breadth_risk_switch_hurdle_pct,breadth_normal_to_risk_min_days,confirm_pool_mean_threshold,breadth_effective_lag_days,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2019_risk_days,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2020_risk_days,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2021_risk_days,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2022_risk_days,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2023_risk_days,y2024_excess,y2024_total,y2024_dd,y2024_trades,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,_candidate_idx,leave_year,selection_avg_excess,selection_avg_abs_dd,selection_score,replay_2019_excess,replay_2019_total,replay_2019_trades,rank,selected_for_leave,holdout_baseline_excess,holdout_improved_or_equal,replay_2020_excess,replay_2020_total,replay_2020_trades,replay_2021_excess,replay_2021_total,replay_2021_trades,replay_2022_excess,replay_2022_total,replay_2022_trades,replay_2023_excess,replay_2023_total,replay_2023_trades,replay_2024_excess,replay_2024_total,replay_2024_trades
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,candidate,-0.03,0.2,3,0.08,1,-0.005,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.023088,-0.138933,-0.166743,174,8,-0.029066,-0.056686,-0.141317,168,0,0.014018,0.00966,-0.164783,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""confirm_pool_mean_threshold"": -0.005, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005""}",21,2019,-0.033269,0.138998,-0.127229,0.150459,0.357825,146,1,1,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p01,candidate,-0.03,0.2,3,0.08,1,-0.01,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.023088,-0.138933,-0.166743,174,8,-0.029066,-0.056686,-0.141317,168,0,0.014018,0.00966,-0.164783,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""confirm_pool_mean_threshold"": -0.01, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p01""}",22,2019,-0.033269,0.138998,-0.127229,0.150459,0.357825,146,2,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p015,candidate,-0.03,0.2,3,0.08,1,-0.015,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.023088,-0.138933,-0.166743,174,8,-0.029066,-0.056686,-0.141317,168,0,0.014018,0.00966,-0.164783,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.08, ""confirm_pool_mean_threshold"": -0.015, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p015""}",23,2019,-0.033269,0.138998,-0.127229,0.150459,0.357825,146,3,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,candidate,-0.03,0.2,3,0.1,1,-0.005,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.019834,-0.142187,-0.169444,155,8,-0.029066,-0.056686,-0.141317,168,0,0.015651,0.011293,-0.164294,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.005, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005""}",24,2019,-0.033594,0.139441,-0.127664,0.150459,0.357825,146,4,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p01,candidate,-0.03,0.2,3,0.1,1,-0.01,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.019834,-0.142187,-0.169444,155,8,-0.029066,-0.056686,-0.141317,168,0,0.015651,0.011293,-0.164294,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.01, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p01""}",25,2019,-0.033594,0.139441,-0.127664,0.150459,0.357825,146,5,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p015,candidate,-0.03,0.2,3,0.1,1,-0.015,1,0.150459,0.357825,-0.107623,146,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.019834,-0.142187,-0.169444,155,8,-0.029066,-0.056686,-0.141317,168,0,0.015651,0.011293,-0.164294,263,5,3,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 3, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.015, ""name"": ""breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p015""}",26,2019,-0.033594,0.139441,-0.127664,0.150459,0.357825,146,6,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p005,candidate,-0.03,0.2,2,0.1,1,-0.005,1,0.15302,0.360386,-0.106677,147,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.012619,-0.149403,-0.177548,183,8,-0.029066,-0.056686,-0.141317,168,0,0.014323,0.009965,-0.164304,263,5,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.005, ""name"": ""breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p005""}",15,2019,-0.035302,0.141064,-0.147838,0.15302,0.360386,147,7,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p01,candidate,-0.03,0.2,2,0.1,1,-0.01,1,0.15302,0.360386,-0.106677,147,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.012619,-0.149403,-0.177548,183,8,-0.029066,-0.056686,-0.141317,168,0,0.014323,0.009965,-0.164304,263,5,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.01, ""name"": ""breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p01""}",16,2019,-0.035302,0.141064,-0.147838,0.15302,0.360386,147,8,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p015,candidate,-0.03,0.2,2,0.1,1,-0.015,1,0.15302,0.360386,-0.106677,147,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.012619,-0.149403,-0.177548,183,8,-0.029066,-0.056686,-0.141317,168,0,0.014323,0.009965,-0.164304,263,5,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.1, ""confirm_pool_mean_threshold"": -0.015, ""name"": ""breadth_dropm0p03_ratio0p2_rec2_h0p1_min1_confirmm0p015""}",17,2019,-0.035302,0.141064,-0.147838,0.15302,0.360386,147,9,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec2_h0p08_min1_confirmm0p005,candidate,-0.03,0.2,2,0.08,1,-0.005,1,0.15302,0.360386,-0.106677,147,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.007049,-0.154972,-0.182062,192,8,-0.029066,-0.056686,-0.141317,168,0,0.014323,0.009965,-0.164304,263,5,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.08, ""confirm_pool_mean_threshold"": -0.005, ""name"": ""breadth_dropm0p03_ratio0p2_rec2_h0p08_min1_confirmm0p005""}",12,2019,-0.036416,0.141966,-0.204878,0.15302,0.360386,147,10,0,0.161312,0,,,,,,,,,,,,,,,
breadth_dropm0p03_ratio0p2_rec2_h0p08_min1_confirmm0p01,candidate,-0.03,0.2,2,0.08,1,-0.01,1,0.15302,0.360386,-0.106677,147,4,-0.136525,-0.032358,-0.128088,76,13,-0.037862,0.083837,-0.094061,152,6,0.007049,-0.154972,-0.182062,192,8,-0.029066,-0.056686,-0.141317,168,0,0.014323,0.009965,-0.164304,263,5,2,0,"{""breadth_drop_threshold"": -0.03, ""breadth_effective_lag_days"": 1, ""breadth_normal_to_risk_min_days"": 1, ""breadth_panic_ratio"": 0.2, ""breadth_risk_recovery_days"": 2, ""breadth_risk_switch_hurdle_pct"": 0.08, ""confirm_pool_mean_threshold"": -0.01, ""name"": ""breadth_dropm0p03_ratio0p2_rec2_h0p08_min1_confirmm0p01""}",13,2019,-0.036416,0.141966,-0.204878,0.15302,0.360386,147,11,0,0.161312,0,,,,,,,,,,,,,,,
