trade_date,n_bonds,valid_returns,pool_mean_return,pool_median_return,missing_return_ratio
20190102,111,0,,,1.0
20190103,111,111,0.0019491512336960184,0.001031881961213843,0.0
20190104,111,111,0.008588633126126607,0.006958250497017815,0.0
20190107,112,111,0.011973219570940758,0.008514221556886303,0.008928571428571397
20190108,112,112,0.0022996389068292464,0.0016105241180094376,0.0
20190109,113,112,0.006216658372514563,0.005050452647231696,0.008849557522123908
20190110,113,113,0.0023650829224849852,0.001331148883882971,0.0
20190111,114,113,0.0038004061501616167,0.0026492613047610636,0.00877192982456143
20190114,114,114,-0.002813893654716634,-0.0023291245422443208,0.0
20190115,114,114,0.005170300847376555,0.003379772113820456,0.0
20190116,114,114,0.0013798809610352475,0.0005035186071428166,0.0
20190117,114,114,-0.0031063283788111437,-0.0025480187868324178,0.0
20190118,115,114,0.0019142832729672921,0.0009839714060974059,0.008695652173912993
20190121,117,115,0.0025165209711341284,0.00028574149919036174,0.017094017094017144
20190122,117,117,-0.0032291646833433538,-0.002055785123966869,0.0
20190123,118,117,0.0012495421329237171,0.0006268895157783838,0.008474576271186418
20190124,118,118,0.005243374973876927,0.0035800010884007305,0.0
20190125,118,118,0.004782895416874609,0.003980623791680293,0.0
20190128,118,118,-0.00398379254266378,-0.003066772533910578,0.0
20190129,117,117,-0.004632748163385719,-0.004004004004004025,0.0
20190130,117,117,-0.0013118567380796587,-0.000506286389334254,0.0
20190131,117,117,-0.0005381132307729398,-8.696408383335186e-05,0.0
20190201,116,116,0.0106097998832332,0.008841658804161545,0.0
20190211,117,117,0.010364048615375944,0.008563273073263655,0.0
20190212,117,117,0.006100017266255292,0.00492307692307703,0.0
20190213,117,117,0.009162208762310666,0.007445708376421889,0.0
20190214,117,117,0.00434855814152189,0.0023359702187062403,0.0
20190215,117,117,-0.0028876199808608913,-0.0028092608737770863,0.0
20190218,119,117,0.01618684498645812,0.012717948717948735,0.01680672268907568
20190219,120,119,-0.004656994632614896,-0.004234724742891771,0.008333333333333304
20190220,120,120,0.0030849352652977677,0.0002766418004047644,0.0
20190221,121,120,0.0044576740929278625,0.001740314096290052,0.008264462809917328
20190222,121,121,0.012737272395587234,0.008018699477323699,0.0
20190225,121,121,0.027013342680856714,0.018369585084993645,0.0
20190226,121,121,-0.005937734918880392,-0.0023948654085640397,0.0
20190227,121,121,-0.003296792701474811,-0.0036862961938992633,0.0
20190228,121,121,0.0015454643609737358,0.0011385489719573094,0.0
20190301,121,121,0.003707057345059822,0.002392574474221032,0.0
20190304,121,121,0.01181483888615245,0.007360157016683022,0.0
20190305,120,120,0.0173327987839253,0.011685956531715669,0.0
20190306,121,121,0.01184429570780079,0.007824308704543315,0.0
20190307,122,121,0.0002873579436142148,-0.001598459316321632,0.008196721311475419
