candidate,leave_year,year,signal_date,effective_date,breadth_drop_threshold,breadth_panic_ratio,breadth_normal_to_risk_min_days,confirm_pool_mean_threshold,breadth_effective_lag_days,n_bonds,valid_returns,drop_share,pool_mean_return,confirm_hit,missing_return_ratio
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2021,20210916,20210917,-0.03,0.2,1,-0.005,1,373,372,0.2252010724,-0.0198316717,1,0.0026809651
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2021,20210927,20210928,-0.03,0.2,1,-0.005,1,373,373,0.2761394102,-0.0222181042,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2021,20210929,20210930,-0.03,0.2,1,-0.005,1,373,373,0.2171581769,-0.0180374754,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2021,20211207,20211208,-0.03,0.2,1,-0.005,1,375,375,0.3173333333,-0.0250694184,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220214,20220215,-0.03,0.2,1,-0.005,1,385,385,0.4545454545,-0.0310345477,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220307,20220308,-0.03,0.2,1,-0.005,1,381,381,0.3175853018,-0.0241441488,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220315,20220316,-0.03,0.2,1,-0.005,1,383,382,0.2140992167,-0.0194302942,1,0.0026109661
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220425,20220426,-0.03,0.2,1,-0.005,1,399,398,0.4110275689,-0.0301395737,1,0.0025062657
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220524,20220525,-0.03,0.2,1,-0.005,1,407,407,0.2285012285,-0.0206611945,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p08_min1_confirmm0p005,2019,2022,20220824,20220825,-0.03,0.2,1,-0.005,1,428,428,0.2663551402,-0.0222698077,1,0.0
