trade_date,n_bonds,valid_returns,pool_mean_return,pool_median_return,min_bond_return,median_bond_return,drop_share_0p03,drop_share_0p05,missing_return_ratio
20190102,111,0,,,,,0.0,0.0,1.0
20190103,111,111,0.0019491512336960184,0.001031881961213843,-0.015973806925290157,0.001031881961213843,0.0,0.0,0.0
20190104,111,111,0.008588633126126607,0.006958250497017815,-0.007925659472422075,0.006958250497017815,0.0,0.0,0.0
20190107,112,111,0.011973219570940758,0.008514221556886303,-0.002974191691451633,0.008514221556886303,0.0,0.0,0.008928571428571397
20190108,112,112,0.0022996389068292464,0.0016105241180094376,-0.00924999999999998,0.0016105241180094376,0.0,0.0,0.0
20190109,113,112,0.006216658372514563,0.005050452647231696,-0.03437842064112595,0.005050452647231696,0.008849557522123894,0.0,0.008849557522123908
20190110,113,113,0.0023650829224849852,0.001331148883882971,-0.0413133006690215,0.001331148883882971,0.008849557522123894,0.0,0.0
20190111,114,113,0.0038004061501616167,0.0026492613047610636,-0.01801935964259138,0.0026492613047610636,0.0,0.0,0.00877192982456143
20190114,114,114,-0.002813893654716634,-0.0023291245422443208,-0.042108066774922515,-0.0023291245422443208,0.008771929824561403,0.0,0.0
20190115,114,114,0.005170300847376555,0.003379772113820456,-0.01342738166057622,0.003379772113820456,0.0,0.0,0.0
20190116,114,114,0.0013798809610352475,0.0005035186071428166,-0.011571046795928797,0.0005035186071428166,0.0,0.0,0.0
20190117,114,114,-0.0031063283788111437,-0.0025480187868324178,-0.04023267086766846,-0.0025480187868324178,0.008771929824561403,0.0,0.0
20190118,115,114,0.0019142832729672921,0.0009839714060974059,-0.0326440177252586,0.0009839714060974059,0.017391304347826087,0.0,0.008695652173912993
20190121,117,115,0.0025165209711341284,0.00028574149919036174,-0.041461889017960885,0.00028574149919036174,0.008547008547008548,0.0,0.017094017094017144
20190122,117,117,-0.0032291646833433538,-0.002055785123966869,-0.0517037786774629,-0.002055785123966869,0.008547008547008548,0.008547008547008548,0.0
20190123,118,117,0.0012495421329237171,0.0006268895157783838,-0.012215194459684553,0.0006268895157783838,0.0,0.0,0.008474576271186418
20190124,118,118,0.005243374973876927,0.0035800010884007305,-0.017687872569139063,0.0035800010884007305,0.0,0.0,0.0
20190125,118,118,0.004782895416874609,0.003980623791680293,-0.04892468511695647,0.003980623791680293,0.00847457627118644,0.0,0.0
20190128,118,118,-0.00398379254266378,-0.003066772533910578,-0.027522864971250005,-0.003066772533910578,0.0,0.0,0.0
20190129,117,117,-0.004632748163385719,-0.004004004004004025,-0.02884676692140231,-0.004004004004004025,0.0,0.0,0.0
20190130,117,117,-0.0013118567380796587,-0.000506286389334254,-0.026363200766650552,-0.000506286389334254,0.0,0.0,0.0
20190131,117,117,-0.0005381132307729398,-8.696408383335186e-05,-0.0405724042605089,-8.696408383335186e-05,0.008547008547008548,0.0,0.0
20190201,116,116,0.0106097998832332,0.008841658804161545,-0.00022947679291207557,0.008841658804161545,0.0,0.0,0.0
20190211,117,117,0.010364048615375944,0.008563273073263655,-0.009794776119402937,0.008563273073263655,0.0,0.0,0.0
20190212,117,117,0.006100017266255292,0.00492307692307703,-0.03635145322053779,0.00492307692307703,0.008547008547008548,0.0,0.0
20190213,117,117,0.009162208762310666,0.007445708376421889,-0.011268512556342647,0.007445708376421889,0.0,0.0,0.0
20190214,117,117,0.00434855814152189,0.0023359702187062403,-0.014276801779401382,0.0023359702187062403,0.0,0.0,0.0
20190215,117,117,-0.0028876199808608913,-0.0028092608737770863,-0.0239797438188859,-0.0028092608737770863,0.0,0.0,0.0
20190218,119,117,0.01618684498645812,0.012717948717948735,-0.005788951372808437,0.012717948717948735,0.0,0.0,0.01680672268907568
20190219,120,119,-0.004656994632614896,-0.004234724742891771,-0.026617867243387106,-0.004234724742891771,0.0,0.0,0.008333333333333304
20190220,120,120,0.0030849352652977677,0.0002766418004047644,-0.022000353419332153,0.0002766418004047644,0.0,0.0,0.0
20190221,121,120,0.0044576740929278625,0.001740314096290052,-0.033519553072625774,0.001740314096290052,0.008264462809917356,0.0,0.008264462809917328
20190222,121,121,0.012737272395587234,0.008018699477323699,-0.012014863748967763,0.008018699477323699,0.0,0.0,0.0
20190225,121,121,0.027013342680856714,0.018369585084993645,-0.008217913204062843,0.018369585084993645,0.0,0.0,0.0
20190226,121,121,-0.005937734918880392,-0.0023948654085640397,-0.2633658536585366,-0.0023948654085640397,0.049586776859504134,0.01652892561983471,0.0
20190227,121,121,-0.003296792701474811,-0.0036862961938992633,-0.05552676390019995,-0.0036862961938992633,0.05785123966942149,0.01652892561983471,0.0
20190228,121,121,0.0015454643609737358,0.0011385489719573094,-0.034480220791168414,0.0011385489719573094,0.008264462809917356,0.0,0.0
20190301,121,121,0.003707057345059822,0.002392574474221032,-0.10611604809200215,0.002392574474221032,0.008264462809917356,0.008264462809917356,0.0
20190304,121,121,0.01181483888615245,0.007360157016683022,-0.0070399476096921765,0.007360157016683022,0.0,0.0,0.0
20190305,120,120,0.0173327987839253,0.011685956531715669,-0.016856231077653105,0.011685956531715669,0.0,0.0,0.0
20190306,121,121,0.01184429570780079,0.007824308704543315,-0.02187574576406015,0.007824308704543315,0.0,0.0,0.0
20190307,122,121,0.0002873579436142148,-0.001598459316321632,-0.03922478222772019,-0.001598459316321632,0.02459016393442623,0.0,0.008196721311475419
20190308,122,122,-0.0205621690160771,-0.019043354260089684,-0.11425965665236049,-0.019043354260089684,0.1721311475409836,0.09836065573770492,0.0
20190311,122,122,0.022427680824507516,0.017814479249342208,-0.04905755637832376,0.017814479249342208,0.01639344262295082,0.0,0.0
20190312,122,122,0.012367671954360547,0.008140551534984719,-0.033169533169533194,0.008140551534984719,0.00819672131147541,0.0,0.0
20190313,122,122,-0.010674483381021603,-0.007876332965618682,-0.07691497975708494,-0.007876332965618682,0.13934426229508196,0.01639344262295082,0.0
20190314,123,122,-0.019114441651661904,-0.015746429993741873,-0.16541176470588237,-0.015746429993741873,0.2032520325203252,0.07317073170731707,0.008130081300813052
20190315,123,123,0.010773498873746113,0.0057088487155090295,-0.016142735768904015,0.0057088487155090295,0.0,0.0,0.0
20190318,123,123,0.019029857303634788,0.01674780915287233,-0.12248520710059163,0.01674780915287233,0.008130081300813009,0.008130081300813009,0.0
20190319,124,123,0.008266999152692453,0.003954750298905463,-0.060013486176668907,0.003954750298905463,0.008064516129032258,0.008064516129032258,0.008064516129032251
20190320,124,123,-0.0021771862244003826,-0.0028861290886829094,-0.034628099173553695,-0.0028861290886829094,0.016129032258064516,0.0,0.008064516129032251
20190321,124,124,0.01160825382524425,0.008344917612659541,-0.02138151617163242,0.008344917612659541,0.0,0.0,0.0
20190322,127,124,-0.0004529640618689841,-0.001347184239481436,-0.051638065522620846,-0.001347184239481436,0.031496062992125984,0.007874015748031496,0.023622047244094446
20190325,128,127,-0.00992919581812237,-0.008645756600628052,-0.07313724454771076,-0.008645756600628052,0.0859375,0.03125,0.0078125
20190326,128,128,-0.02181847349588909,-0.02190974410403873,-0.08107338195077496,-0.02190974410403873,0.25,0.0390625,0.0
20190327,128,128,0.0033484439240884355,-4.672897196300596e-06,-0.034213362068965414,-4.672897196300596e-06,0.0078125,0.0,0.0
20190328,129,128,-0.004211230598887683,-0.0027560043652522515,-0.11298245614035085,-0.0027560043652522515,0.031007751937984496,0.007751937984496124,0.007751937984496138
20190329,131,129,0.017667609978214788,0.016435493064791862,-0.058544303797468444,0.016435493064791862,0.007633587786259542,0.007633587786259542,0.01526717557251911
