name,description,period,start,end,excluded_count,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2022,20220101,20221231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.108947,0.053075,-0.12772,0.3356,146,242,0.021145
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2023,20230101,20231231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.021219,0.048838,-0.078976,0.474,154,242,0.029094
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2024,20240101,20241231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.010795,0.015153,-0.167906,0.4348,230,242,-0.026824
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2025,20250101,20251231,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.3826,0.144511,-0.15031,0.6279,129,243,0.106934
exclude_far_above_bond_floor,Exclude CBs whose train-window close/bond_floor ever exceeds 1.5.,2026,20260101,20260508,355,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.270287,0.197748,-0.058105,0.6353,85,80,0.183222
exclude_high_moneyness,Exclude CBs whose train-window stock/conv_price ever exceeds 1.6.,2019,20190101,20191231,175,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.154292,-0.053073,-0.105204,0.6903,155,244,-0.079374
exclude_high_moneyness,Exclude CBs whose train-window stock/conv_price ever exceeds 1.6.,2020,20200101,20201231,175,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.029182,-0.133349,-0.116927,0.56,100,243,-0.162581
exclude_high_moneyness,Exclude CBs whose train-window stock/conv_price ever exceeds 1.6.,2021,20210101,20211231,175,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.168486,0.046787,-0.109686,0.6947,131,243,0.019366
exclude_high_moneyness,Exclude CBs whose train-window stock/conv_price ever exceeds 1.6.,2022,20220101,20221231,175,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.124971,0.037051,-0.141428,0.33,200,242,0.001694
exclude_high_moneyness,Exclude CBs whose train-window stock/conv_price ever exceeds 1.6.,2023,20230101,20231231,175,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.011602,0.016017,-0.111357,0.4486,185,242,-0.011822
