name,description,period,start,end,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.053031,-0.025412,-0.137102,0.3681,144,242,-0.059688
flat_weak_ratio_1p25,仅弱震荡：期权型买入要求价格/债底 <= 1.25,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.25, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.007391,-0.003033,-0.172232,0.4444,243,242,-0.046091
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.378716,0.17135,-0.107991,0.5767,163,244,0.144352
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.091111,-0.195278,-0.179539,0.2933,75,243,-0.240163
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.056635,-0.065063,-0.092595,0.5612,98,243,-0.088212
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.159453,0.002568,-0.187253,0.3252,163,242,-0.044245
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.058228,-0.030609,-0.141081,0.3648,159,242,-0.065879
flat_weak_signal_1,仅弱震荡：期权型买入最多 1 个弱势信号,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.00915,-0.004792,-0.175205,0.4458,249,242,-0.048593
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.376308,0.168943,-0.107991,0.5776,161,244,0.141945
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.091111,-0.195278,-0.179539,0.2933,75,243,-0.240163
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.058912,-0.062787,-0.090366,0.6147,109,243,-0.085378
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.154765,0.007257,-0.182752,0.3273,165,242,-0.038431
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.057496,-0.029877,-0.140594,0.3648,159,242,-0.065025
weak_and_flat_signal_1,弱市和弱震荡都最多允许 1 个弱势信号,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_bad_signals_weak"": 1, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.006372,-0.002014,-0.173874,0.4568,243,242,-0.045483
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.37705,0.169684,-0.107991,0.5706,163,244,0.142686
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.091111,-0.195278,-0.179539,0.2933,75,243,-0.240163
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.07025,-0.051448,-0.088575,0.6068,117,243,-0.073592
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.142147,0.019874,-0.169549,0.3927,191,242,-0.022513
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.103274,-0.075655,-0.155663,0.3256,172,242,-0.114571
weak_mild_flat_signal,弱市价格接近债底，弱震荡只看弱势信号,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_bad_signals_flat_weak"": 1, ""option_entry_max_close_to_bond_floor_weak"": 1.3, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.012902,0.017261,-0.163623,0.4274,248,242,-0.023645
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.381621,0.174255,-0.107991,0.589,163,244,0.147257
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2021,20210101,20211231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.105216,-0.016482,-0.085835,0.5691,123,243,-0.037941
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2022,20220101,20221231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.142906,0.019115,-0.169673,0.3494,166,242,-0.023303
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2023,20230101,20231231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.105972,-0.078352,-0.142474,0.3125,176,242,-0.113971
weak_ratio_1p15,仅弱市：期权型买入要求价格/债底 <= 1.15,2024,20240101,20241231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.018083,0.022441,-0.166422,0.427,274,242,-0.019164
weak_ratio_1p15_flat_ratio_1p35,弱市要求更接近债底，弱震荡允许稍远,2019,20190101,20191231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.35, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.371712,0.164347,-0.107991,0.6225,151,244,0.137349
weak_ratio_1p15_flat_ratio_1p35,弱市要求更接近债底，弱震荡允许稍远,2020,20200101,20201231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""option_entry_gate_enabled_flat_weak"": 1.0, ""option_entry_gate_enabled_weak"": 1.0, ""option_entry_max_close_to_bond_floor_flat_weak"": 1.35, ""option_entry_max_close_to_bond_floor_weak"": 1.15, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.090593,-0.19476,-0.179066,0.2933,75,243,-0.239526
