year,cb_code,cb_name,stk_code,rating,remain_size,entry_date,exit_date,entry_month,exit_month,holding_days,entry_price,exit_price,entry_premium,exit_premium,premium_change_pp,entry_underlying_close,exit_underlying_close,underlying_return_pct,trade_pnl_pct,benchmark_pnl_pct,excess_pp,pnl_amount,exit_reason,entry_gap_pct,entry_gap_amount
2020,123011.SZ,德尔转债,300473,AA-,,20200102,20200306,202001,202003,64,126.079,112.23,-0.5436210349,-0.374003372,16.961766,43.87,28.47,-35.103716,-0.109844,0.0826770477,-19.252105,-8825.59,stop_loss_switch_value_gap,1.176466,94117.24
2020,123035.SZ,利德转债,300296,AA+,,20200102,20200413,202001,202004,102,129.521,115.6,-0.2981539721,-0.1704,12.775397,7.88,5.95,-24.492386,-0.107481,0.0100498596,-11.753086,-8634.63,stop_loss_switch_value_gap,0.512354,40988.29
2020,110044.SH,广电转债,600831,AA,,20200102,20200427,202001,202004,116,144.28,212.46,-0.3467404517,0.3140934081,66.083386,9.74,7.13,-26.796715,0.472553,0.0865193161,38.603368,37712.43,value_repaired,0.593823,47505.82
2020,128074.SZ,游族转债,002174,AA-,,20200102,20200515,202001,202005,134,145.8,124.3,-0.4112035186,-0.360127421,5.10761,25.01,19.62,-21.551379,-0.147462,0.0502371561,-19.769916,-11826.4,stop_loss_value_gone,0.830156,66412.45
2020,110047.SH,山鹰转债,600567,AA,,20200102,20200519,202001,202005,138,123.67,110.08,-0.4988110526,-0.4349226667,6.388839,3.8,3.0,-21.052632,-0.109889,0.0387505794,-14.863958,-8824.44,stop_loss_value_gone,0.913886,73110.89
2020,113530.SH,大丰转债,603081,AA-,,20200102,20200520,202001,202005,139,113.41,104.27,-0.0859702418,0.1746187175,26.058896,16.13,11.54,-28.456293,-0.080593,0.0293239545,-10.991695,-6489.74,stop_loss_value_gone,0.367507,29400.53
2020,113537.SH,文灿转债,603348,AA-,,20200102,20200525,202001,202005,144,120.43,110.46,-0.0040788797,0.2388676421,24.294652,24.1,17.77,-26.26556,-0.082787,0.0072755551,-9.006256,-6656.03,stop_loss_value_gone,0.313959,25116.73
2020,128083.SZ,新北转债,002376,AA,,20200102,20200525,202001,202005,144,120.21,108.988,-0.4752352466,-0.4368084211,3.842683,12.37,10.45,-15.521423,-0.093353,0.0072755551,-10.062856,-7508.36,stop_loss_value_gone,0.696441,55715.24
2020,110058.SH,永鼎转债,600105,AA-,,20200102,20200630,202001,202006,180,107.0,102.71,-0.1376119403,-0.0799909953,5.762095,4.69,4.22,-10.021322,-0.040093,0.0502078807,-9.030088,-3251.63,max_holding_days,0.447026,35762.09
2020,123004.SZ,铁汉转债,300197,AA,,20200102,20200630,202001,202006,180,102.265,97.301,-0.1950754839,-0.0652974803,12.9778,3.1,2.54,-18.064516,-0.048541,0.0502078807,-9.874888,-1999.5,max_holding_days,0.278136,22250.87
2020,127007.SZ,湖广转债,000665,AA+,,20200102,20200630,202001,202006,180,114.72,109.55,-0.2036835165,-0.2061290631,-0.244555,5.46,5.23,-4.212454,-0.045066,0.0502078807,-9.527388,-3645.15,max_holding_days,0.360662,28852.96
2020,128037.SZ,岩土转债,002542,AA,,20200102,20200630,202001,202006,180,96.961,97.398,-0.4141406596,-0.3439958235,7.014484,3.79,3.4,-10.290237,0.004507,0.0502078807,-4.570088,312.04,max_holding_days,0.76353,61082.42
