cb_code,cb_name,entry_date,exit_date,exit_reason,pnl_amount,pnl_pct,holding_days,entry_close,theoretical,bond_floor,option_value,value_gap_amount,value_gap_pct,close_to_bond_floor,bond_gap_per_bond,option_gap_per_bond,option_share,source
123035.SZ,利德转债,20201120,20201228,stop_loss_switch_value_gap,-2397.74,-0.084262,38,123.498,207.999,92.188,115.81,20449.13,0.6816,1.3396,0.0,84.501,1.0,option
113584.SH,家悦转债,20201116,20201231,end_of_period,-2322.06,-0.054515,45,109.02,191.951,86.835,105.116,60788.71,0.7599,1.2555,0.0,82.931,1.0,option
123063.SZ,大禹转债,20201013,20201216,switch_value_gap,-2220.53,-0.07335,64,121.85,191.204,87.76,103.444,17061.18,0.5687,1.3884,0.0,69.354,1.0,option
123004.SZ,铁汉转债,20200102,20200630,max_holding_days,-2156.4,-0.051971,180,102.265,130.719,89.492,41.227,22250.87,0.2781,1.1427,0.0,28.454,1.0,option
123023.SZ,迪森转债,20201013,20201231,end_of_period,-1980.69,-0.065411,79,106.807,168.097,100.0,68.097,17161.27,0.572,1.0681,0.0,61.29,1.0,option
128134.SZ,鸿路转债,20201111,20201221,switch_value_gap,-1540.92,-0.024058,40,118.84,181.396,85.523,95.873,42037.33,0.5255,1.3896,0.0,62.556,1.0,option
128037.SZ,岩土转债,20200630,20201216,switch_value_gap,-1418.26,-0.018168,169,97.398,152.233,90.775,61.457,45019.32,0.5627,1.073,0.0,54.835,1.0,option
128063.SZ,未来转债,20200102,20200630,max_holding_days,-1416.27,-0.017726,180,110.307,236.942,89.64,147.302,91810.14,1.1476,1.2306,0.0,126.635,1.0,option
128117.SZ,道恩转债,20201120,20201231,end_of_period,-1104.14,-0.038835,41,107.502,223.08,88.399,134.681,32130.66,1.071,1.2161,0.0,115.578,1.0,option
128125.SZ,华阳转债,20200925,20201215,switch_value_gap,-1070.53,-0.079384,81,118.081,206.091,84.684,121.408,22266.63,0.7422,1.3944,0.0,88.01,1.0,option
123076.SZ,强力转债,20201218,20201231,end_of_period,-904.48,-0.03263,13,104.021,159.869,83.56,76.31,16084.27,0.5361,1.2449,0.0,55.848,1.0,option
128108.SZ,蓝帆转债,20201225,20201231,end_of_period,-771.61,-0.028072,6,124.15,276.255,85.114,191.14,36657.19,1.2219,1.4586,0.0,152.105,1.0,option
