name,description,period,start,end,haircut_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.324166,0.051852,-0.312209,0.4795,1074,1456,-0.0262
moneyness_1p6_weight_0p75,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p75"", ""option_weight"": 0.75}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.517618,0.165353,-0.097762,0.6278,223,323,0.140912
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.383687,0.111372,-0.250731,0.507,1284,1456,0.048689
moneyness_1p6_weight_0p5,期权型低估且正股/转股价 > 1.6 时，期权价值乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_weight_0p5"", ""option_weight"": 0.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.506546,0.15428,-0.097762,0.6287,237,323,0.129839
ratio_1p5_or_mny_1p6_weight_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.135496,-0.136818,-0.313699,0.4637,1020,1456,-0.215243
ratio_1p5_or_mny_1p6_weight_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p75"", ""option_weight"": 0.75, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.247332,-0.104933,-0.089622,0.6275,255,323,-0.127338
ratio_1p5_or_mny_1p6_weight_0p5,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.328524,0.056209,-0.268873,0.5052,1241,1456,-0.011009
ratio_1p5_or_mny_1p6_weight_0p5,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.5"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p5"", ""option_weight"": 0.5, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.213547,-0.138718,-0.097766,0.6593,273,323,-0.16316
ratio_1p5_or_mny_1p6_weight_0p25,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.25,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.25"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p25"", ""option_weight"": 0.25, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.690789,0.418475,-0.258385,0.5329,1413,1456,0.353879
ratio_1p5_or_mny_1p6_weight_0p25,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，期权价值乘以 0.25,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u671f\u6743\u4ef7\u503c\u4e58\u4ee5 0.25"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_weight_0p25"", ""option_weight"": 0.25, ""ratio_threshold"": 1.5}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.212543,-0.139723,-0.097766,0.6581,272,323,-0.164165
progressive_stocklike_haircut,越像股票、越远离债底，期权价值折减越强,train,20190101,20241231,"{""description"": ""\u8d8a\u50cf\u80a1\u7968\u3001\u8d8a\u8fdc\u79bb\u503a\u5e95\uff0c\u671f\u6743\u4ef7\u503c\u6298\u51cf\u8d8a\u5f3a"", ""mode"": ""progressive"", ""name"": ""progressive_stocklike_haircut""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.669992,0.397678,-0.238215,0.5361,1328,1456,0.338124
progressive_stocklike_haircut,越像股票、越远离债底，期权价值折减越强,test,20250101,20260508,"{""description"": ""\u8d8a\u50cf\u80a1\u7968\u3001\u8d8a\u8fdc\u79bb\u503a\u5e95\uff0c\u671f\u6743\u4ef7\u503c\u6298\u51cf\u8d8a\u5f3a"", ""mode"": ""progressive"", ""name"": ""progressive_stocklike_haircut""}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.148367,-0.203898,-0.086942,0.6184,228,323,-0.225633
