name,kind,regime_lookback_days,regime_risk_threshold,regime_risk_recovery_days,regime_risk_switch_hurdle_pct,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2019_risk_days,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2020_risk_days,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2021_risk_days,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2022_risk_days,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2023_risk_days,y2024_excess,y2024_total,y2024_dd,y2024_trades,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,leave_year,selection_avg_excess,selection_avg_abs_dd,selection_score,replay_2019_excess,replay_2019_total,replay_2019_trades,rank,selected_for_leave,holdout_baseline_excess,holdout_improved_or_equal,replay_2020_excess,replay_2020_total,replay_2020_trades,replay_2021_excess,replay_2021_total,replay_2021_trades,replay_2022_excess,replay_2022_total,replay_2022_trades,replay_2023_excess,replay_2023_total,replay_2023_trades,replay_2024_excess,replay_2024_total,replay_2024_trades
selfpnl_lb60_thr0p01_rec3_h0p05,candidate,60,0.01,3,0.05,0.140735,0.348101,-0.107723,150,78,-0.142468,-0.038301,-0.145226,79,182,-0.033183,0.088515,-0.088886,135,151,0.036147,-0.125874,-0.156165,159,101,-0.032656,-0.060275,-0.140407,149,133,0.031937,0.027579,-0.154318,248,110,2,0,"{""name"": ""selfpnl_lb60_thr0p01_rec3_h0p05"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",2019,-0.028045,0.137,-0.150215,0.140735,0.348101,150,11,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p02_rec3_h0p1,candidate,10,-0.02,3,0.1,0.15148,0.358846,-0.10789,174,2,-0.145867,-0.0417,-0.151539,87,50,-0.017785,0.103913,-0.088886,146,25,0.031737,-0.130284,-0.160221,196,28,-0.029725,-0.057345,-0.14193,168,2,0.036412,0.032054,-0.165749,259,5,2,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec3_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.02}",2019,-0.025046,0.141665,-0.153062,0.15148,0.358846,174,12,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec2_h0p08,candidate,10,-0.01,2,0.08,0.151782,0.359148,-0.107901,151,20,-0.145713,-0.041547,-0.151336,90,89,-0.005327,0.116371,-0.088886,145,67,0.037032,-0.124989,-0.158571,192,54,-0.030002,-0.057621,-0.142922,158,46,0.021497,0.017139,-0.159837,247,41,2,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec2_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.024503,0.14031,-0.15341,0.151782,0.359148,151,13,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec1_h0p08,candidate,10,-0.01,1,0.08,0.152537,0.359903,-0.107432,151,20,-0.145867,-0.0417,-0.151539,87,89,-0.020521,0.101178,-0.088886,124,67,0.030396,-0.131625,-0.16044,196,54,-0.029604,-0.057224,-0.14256,157,46,0.024182,0.019824,-0.160074,252,41,2,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec1_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.028283,0.1407,-0.154848,0.152537,0.359903,151,14,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec3_h0p1,candidate,60,0.01,3,0.1,0.109727,0.317093,-0.107262,151,78,-0.142934,-0.038767,-0.144576,77,182,-0.034405,0.087294,-0.088886,119,151,0.030552,-0.131469,-0.160711,160,101,-0.033704,-0.061323,-0.142225,138,133,0.07983,0.075472,-0.156249,229,110,1,0,"{""name"": ""selfpnl_lb60_thr0p01_rec3_h0p1"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.01}",2019,-0.020132,0.138529,-0.166535,0.109727,0.317093,151,15,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p01_rec2_h0p08,candidate,60,-0.01,2,0.08,0.148196,0.355562,-0.107737,152,33,-0.143757,-0.039591,-0.14522,78,156,-0.028949,0.09275,-0.088886,115,124,0.02541,-0.136611,-0.165246,186,70,-0.029628,-0.057248,-0.141199,154,78,0.036002,0.031643,-0.147703,241,81,1,0,"{""name"": ""selfpnl_lb60_thrm0p01_rec2_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.028184,0.137651,-0.167937,0.148196,0.355562,152,16,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p01_rec3_h0p08,candidate,60,-0.01,3,0.08,0.148624,0.355989,-0.107737,152,33,-0.143757,-0.039591,-0.14522,78,156,-0.028949,0.09275,-0.088886,115,124,0.02541,-0.136611,-0.165246,186,70,-0.029836,-0.057456,-0.141372,155,78,0.036002,0.031643,-0.147703,241,81,1,0,"{""name"": ""selfpnl_lb60_thrm0p01_rec3_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.028226,0.137685,-0.170067,0.148624,0.355989,152,17,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb20_thr0_rec2_h0p1,candidate,20,0.0,2,0.1,0.163168,0.370534,-0.105054,150,82,-0.149705,-0.045539,-0.138733,92,157,-0.026661,0.095037,-0.088886,91,125,0.036423,-0.125599,-0.156289,171,110,-0.02459,-0.052209,-0.137146,142,134,0.029834,0.025476,-0.152185,229,102,3,0,"{""name"": ""selfpnl_lb20_thr0_rec2_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",2019,-0.02694,0.134648,-0.171772,0.163168,0.370534,150,18,0,0.161312,1,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec2_h0p1,candidate,60,0.01,2,0.1,0.134643,0.342009,-0.107262,147,78,-0.142934,-0.038767,-0.144576,77,182,-0.034405,0.087294,-0.088886,119,151,0.030552,-0.131469,-0.160711,160,101,-0.033693,-0.061313,-0.142218,138,133,0.040904,0.036546,-0.156125,230,110,1,0,"{""name"": ""selfpnl_lb60_thr0p01_rec2_h0p1"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.01}",2019,-0.027915,0.138503,-0.174201,0.134643,0.342009,147,19,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0p01_rec2_h0p08,candidate,60,0.01,2,0.08,0.143151,0.350517,-0.107262,149,78,-0.146805,-0.042638,-0.148382,78,182,-0.029511,0.092188,-0.088886,112,151,0.036604,-0.125417,-0.15662,156,101,-0.031397,-0.059017,-0.140266,141,133,0.051512,0.047154,-0.149465,233,110,2,0,"{""name"": ""selfpnl_lb60_thr0p01_rec2_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.01}",2019,-0.023919,0.136724,-0.1768,0.143151,0.350517,149,20,0,0.161312,0,,,,,,,,,,,,,,,
