name,kind,leave_year,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2024_excess,y2024_total,y2024_dd,y2024_trades,selection_avg_excess,replay_2019_excess,replay_2020_excess,replay_2021_excess,replay_2022_excess,replay_2023_excess,replay_2024_excess,regime_lookback_days,regime_risk_threshold,regime_risk_recovery_days,regime_risk_switch_hurdle_pct,y2019_risk_days,y2020_risk_days,y2021_risk_days,y2022_risk_days,y2023_risk_days,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,selected_passes,selected_total,adoption_pass
selfpnl_lb20_thrm0p01_rec1_h0p08,candidate,,0.165639,0.373005,-0.103368,152,-0.178799,-0.074633,-0.160351,98,-0.02298,0.098718,-0.088886,117,0.028145,-0.133876,-0.161772,184,-0.029641,-0.05726,-0.141811,151,0.032651,0.028293,-0.167415,248,,,,,,,,20,-0.01,1,0.08,42,117,96,81,79,62,1,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec1_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec1_h0p1,candidate,,0.164544,0.37191,-0.103368,160,-0.178799,-0.074633,-0.160351,98,-0.008428,0.11327,-0.088886,107,0.034271,-0.12775,-0.157399,182,-0.02553,-0.05315,-0.138108,149,0.028214,0.023856,-0.169957,241,,,,,,,,20,-0.01,1,0.1,42,117,96,81,79,62,3,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec1_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec2_h0p05,candidate,,0.16189,0.369256,-0.103344,156,-0.150825,-0.046659,-0.138571,87,-0.029579,0.092119,-0.08892,113,0.032091,-0.12993,-0.157966,182,-0.026271,-0.053891,-0.138574,156,0.029919,0.025561,-0.167854,254,,,,,,,,20,-0.01,2,0.05,42,117,96,81,79,62,3,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec2_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec2_h0p08,candidate,,0.157789,0.365155,-0.104758,152,-0.150825,-0.046659,-0.138571,87,-0.032941,0.088758,-0.088886,96,0.026019,-0.136002,-0.163823,185,-0.029801,-0.057421,-0.141733,150,0.035796,0.031438,-0.168399,243,,,,,,,,20,-0.01,2,0.08,42,117,96,81,79,62,1,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec2_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec2_h0p1,candidate,,0.149642,0.357008,-0.104758,161,-0.150825,-0.046659,-0.138571,87,-0.049052,0.072646,-0.088886,103,0.034959,-0.127062,-0.155181,183,-0.025944,-0.053563,-0.13823,149,0.030258,0.025899,-0.169492,238,,,,,,,,20,-0.01,2,0.1,42,117,96,81,79,62,2,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec2_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec3_h0p05,candidate,,0.16189,0.369256,-0.103344,156,-0.151907,-0.04774,-0.1386,88,-0.021169,0.100529,-0.088886,116,0.036043,-0.125978,-0.154662,184,-0.025663,-0.053282,-0.138574,156,0.032085,0.027727,-0.166294,254,,,,,,,,20,-0.01,3,0.05,42,117,96,81,79,62,3,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec3_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec3_h0p08,candidate,,0.154735,0.362101,-0.108038,157,-0.151907,-0.04774,-0.1386,88,-0.032941,0.088758,-0.088886,96,0.030194,-0.131827,-0.159815,178,-0.028983,-0.056602,-0.141533,151,0.038208,0.03385,-0.166606,243,,,,,,,,20,-0.01,3,0.08,42,117,96,81,79,62,2,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec3_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thrm0p01_rec3_h0p1,candidate,,0.144246,0.351612,-0.108038,159,-0.151907,-0.04774,-0.1386,88,-0.029323,0.092376,-0.088886,100,0.033897,-0.128124,-0.156232,179,-0.0251,-0.052719,-0.13805,149,0.030258,0.025899,-0.169492,238,,,,,,,,20,-0.01,3,0.1,42,117,96,81,79,62,3,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec3_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.01}",,,
selfpnl_lb20_thr0_rec1_h0p05,candidate,,0.134239,0.341605,-0.104417,155,-0.150825,-0.046659,-0.138571,87,-0.035562,0.086137,-0.088886,97,0.037566,-0.124456,-0.156942,180,-0.023442,-0.051061,-0.136254,153,0.021738,0.01738,-0.157993,248,,,,,,,,20,0.0,1,0.05,82,157,125,110,134,102,2,0,"{""name"": ""selfpnl_lb20_thr0_rec1_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec1_h0p08,candidate,,0.135476,0.342842,-0.105054,150,-0.151846,-0.04768,-0.139288,87,-0.036861,0.084837,-0.088886,97,0.029409,-0.132613,-0.160484,170,-0.028125,-0.055745,-0.140495,145,0.028346,0.023988,-0.152398,236,,,,,,,,20,0.0,1,0.08,82,157,125,110,134,102,1,0,"{""name"": ""selfpnl_lb20_thr0_rec1_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec1_h0p1,candidate,,0.162211,0.369577,-0.105054,152,-0.151846,-0.04768,-0.139288,87,-0.026661,0.095037,-0.088886,91,0.029176,-0.132846,-0.160699,170,-0.020127,-0.047746,-0.135101,144,0.021994,0.017636,-0.159163,233,,,,,,,,20,0.0,1,0.1,82,157,125,110,134,102,3,0,"{""name"": ""selfpnl_lb20_thr0_rec1_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec2_h0p05,candidate,,0.134247,0.341613,-0.104417,155,-0.151003,-0.046836,-0.138733,89,-0.035562,0.086137,-0.088886,97,0.032984,-0.129037,-0.159254,177,-0.026315,-0.053934,-0.136562,154,0.031227,0.026868,-0.166323,245,,,,,,,,20,0.0,2,0.05,82,157,125,110,134,102,2,0,"{""name"": ""selfpnl_lb20_thr0_rec2_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec2_h0p08,candidate,,0.13607,0.343436,-0.105054,150,-0.151003,-0.046836,-0.138733,89,-0.036861,0.084837,-0.088886,97,0.032326,-0.129695,-0.16024,170,-0.03102,-0.05864,-0.141379,143,0.03677,0.032411,-0.1457,231,,,,,,,,20,0.0,2,0.08,82,157,125,110,134,102,1,0,"{""name"": ""selfpnl_lb20_thr0_rec2_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec2_h0p1,candidate,,0.163168,0.370534,-0.105054,150,-0.149705,-0.045539,-0.138733,92,-0.026661,0.095037,-0.088886,91,0.036423,-0.125599,-0.156289,171,-0.02459,-0.052209,-0.137146,142,0.029834,0.025476,-0.152185,229,,,,,,,,20,0.0,2,0.1,82,157,125,110,134,102,3,0,"{""name"": ""selfpnl_lb20_thr0_rec2_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec3_h0p05,candidate,,0.134247,0.341613,-0.104417,155,-0.14853,-0.044363,-0.137282,82,-0.035562,0.086137,-0.088886,97,0.035728,-0.126293,-0.156627,179,-0.026967,-0.054587,-0.136562,153,0.03099,0.026632,-0.166437,244,,,,,,,,20,0.0,3,0.05,82,157,125,110,134,102,2,0,"{""name"": ""selfpnl_lb20_thr0_rec3_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec3_h0p08,candidate,,0.135052,0.342418,-0.105054,149,-0.14853,-0.044363,-0.137282,82,-0.036861,0.084837,-0.088886,97,0.033231,-0.12879,-0.158718,166,-0.030854,-0.058473,-0.141231,143,0.037693,0.033335,-0.14571,230,,,,,,,,20,0.0,3,0.08,82,157,125,110,134,102,1,0,"{""name"": ""selfpnl_lb20_thr0_rec3_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0_rec3_h0p1,candidate,,0.166346,0.373712,-0.105054,151,-0.148754,-0.044587,-0.137282,81,-0.026661,0.095037,-0.088886,91,0.047493,-0.114528,-0.155343,168,-0.033915,-0.061534,-0.137109,140,0.030215,0.025857,-0.15125,227,,,,,,,,20,0.0,3,0.1,82,157,125,110,134,102,2,0,"{""name"": ""selfpnl_lb20_thr0_rec3_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",,,
selfpnl_lb20_thr0p01_rec1_h0p05,candidate,,0.135435,0.3428,-0.104457,153,-0.149026,-0.044859,-0.141727,91,-0.035562,0.086137,-0.088886,97,0.040662,-0.121359,-0.15448,179,-0.029781,-0.057401,-0.136304,143,0.03468,0.030322,-0.15653,235,,,,,,,,20,0.01,1,0.05,113,185,168,157,177,154,1,0,"{""name"": ""selfpnl_lb20_thr0p01_rec1_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",,,
selfpnl_lb20_thr0p01_rec1_h0p08,candidate,,0.140664,0.348029,-0.105054,147,-0.14975,-0.045584,-0.141727,90,-0.036861,0.084837,-0.088886,97,0.021714,-0.140307,-0.169599,161,-0.032562,-0.060182,-0.14027,134,0.050926,0.046567,-0.152161,219,,,,,,,,20,0.01,1,0.08,113,185,168,157,177,154,0,0,"{""name"": ""selfpnl_lb20_thr0p01_rec1_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.01}",,,
selfpnl_lb20_thr0p01_rec1_h0p1,candidate,,0.166447,0.373812,-0.105054,145,-0.147872,-0.043706,-0.142444,86,-0.011524,0.110175,-0.088886,88,0.043037,-0.118984,-0.153703,154,-0.033499,-0.061119,-0.138673,131,0.076394,0.072036,-0.154917,216,,,,,,,,20,0.01,1,0.1,113,185,168,157,177,154,2,0,"{""name"": ""selfpnl_lb20_thr0p01_rec1_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.01}",,,
selfpnl_lb20_thr0p01_rec2_h0p05,candidate,,0.126561,0.333927,-0.104275,154,-0.148662,-0.044495,-0.143162,84,-0.023548,0.09815,-0.088886,124,0.036258,-0.125763,-0.156112,170,-0.030367,-0.057987,-0.135837,140,0.01897,0.014612,-0.156599,235,,,,,,,,20,0.01,2,0.05,113,185,168,157,177,154,2,0,"{""name"": ""selfpnl_lb20_thr0p01_rec2_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",,,
selfpnl_lb20_thr0p01_rec2_h0p08,candidate,,0.147193,0.354559,-0.104078,148,-0.148662,-0.044495,-0.143162,84,-0.008112,0.113587,-0.088886,119,0.035869,-0.126152,-0.156614,159,-0.033791,-0.061411,-0.139764,130,0.07166,0.067302,-0.152135,216,,,,,,,,20,0.01,2,0.08,113,185,168,157,177,154,2,0,"{""name"": ""selfpnl_lb20_thr0p01_rec2_h0p08"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": 0.01}",,,
selfpnl_lb20_thr0p01_rec2_h0p1,candidate,,0.149003,0.356369,-0.108083,144,-0.148662,-0.044495,-0.143162,84,-0.021395,0.100303,-0.088886,95,0.035806,-0.126215,-0.157797,156,-0.034155,-0.061775,-0.13828,125,0.075344,0.070985,-0.153941,210,,,,,,,,20,0.01,2,0.1,113,185,168,157,177,154,2,0,"{""name"": ""selfpnl_lb20_thr0p01_rec2_h0p1"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.01}",,,
