name,description,period,start,end,position_scale_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score,spec_run_id,spec_binding_hash
moneyness_1p6_scale_0p5,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p5"", ""position_scale"": 0.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.443238,0.170924,-0.266116,0.476,1147,1456,0.104395,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
moneyness_1p6_scale_0p5,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p5"", ""position_scale"": 0.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.655517,0.303252,-0.097762,0.5962,208,323,0.278812,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
moneyness_1p6_scale_0p25,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.25,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p25"", ""position_scale"": 0.25}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.478234,0.205919,-0.267511,0.505,1295,1456,0.139041,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
moneyness_1p6_scale_0p25,期权型低估且正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.25,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""moneyness_1p6_scale_0p25"", ""position_scale"": 0.25}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.640024,0.287758,-0.097762,0.6157,216,323,0.263318,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.75,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.348739,0.076425,-0.287939,0.4604,997,1456,0.00444,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p75,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.75,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.75"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p75"", ""position_scale"": 0.75, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.645128,0.292862,-0.095876,0.6172,209,323,0.268893,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p5,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.5,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.322296,0.049981,-0.277297,0.4738,1125,1456,-0.019343,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p5,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.5,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.5"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p5"", ""position_scale"": 0.5, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.572982,0.220717,-0.08937,0.5944,249,323,0.198375,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p25,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.25,train,20190101,20241231,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.470908,0.198593,-0.24378,0.5203,1305,1456,0.137648,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
ratio_1p5_or_mny_1p6_scale_0p25,期权型低估且价格/债底 > 1.5 或正股/转股价 > 1.6 时，买入金额和排序金额乘以 0.25,test,20250101,20260508,"{""description"": ""\u671f\u6743\u578b\u4f4e\u4f30\u4e14\u4ef7\u683c/\u503a\u5e95 > 1.5 \u6216\u6b63\u80a1/\u8f6c\u80a1\u4ef7 > 1.6 \u65f6\uff0c\u4e70\u5165\u91d1\u989d\u548c\u6392\u5e8f\u91d1\u989d\u4e58\u4ee5 0.25"", ""mode"": ""ratio_or_moneyness"", ""moneyness_threshold"": 1.6, ""name"": ""ratio_1p5_or_mny_1p6_scale_0p25"", ""position_scale"": 0.25, ""ratio_threshold"": 1.5}","{""candidate_position_scale_enabled"": 1.0, ""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.450907,0.098642,-0.08937,0.594,266,323,0.076299,cb_arb_value_gap_switch_option-position-sizing_2026-05-18_090016,ff411c20e7323fdb
