bond_code,bond_name,meeting_date,ratio,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
123186,志特转债,2024-12-06,0.6639616377720399,109.101,107.391,108.004,110.099,111.9,111.983,110.465,107.394,107.941,106.751,108.416,107.35,107.821,107.23,108.126,110.907,115.284,115.05,114.601,114.198,114.08,114.99,114.598,115.039,115.21,115.585,115.901,116.357,116.501,117.446,118.2,123.0,125.491,123.43,127.179,124.529,125.5,130.334,128.944,130.5,128.104,129.428,128.72,129.32,127.503,128.8,132.716,139.501,142.536,140.805,141.6,145.887,141.616,138.106,137.101,133.711,137.4,142.48,143.05,143.3,147.792
123196,正元转02,2023-12-05,0.6704268292682927,117.296,116.948,117.8,117.68,118.27,118.9,118.3,117.601,117.025,115.553,115.0,114.379,114.8,114.308,113.8,112.0,112.176,113.84,114.85,115.16,114.39,114.398,113.0,112.05,112.312,111.375,113.248,112.0,111.205,110.75,109.1,108.55,108.33,106.15,105.783,104.751,106.601,106.899,104.675,104.5,103.811,103.786,101.535,99.9,100.595,98.028,100.2,104.1,104.547,104.4,105.0,108.2,107.87,108.234,103.94,105.001,105.529,104.701,103.257,103.419,103.258
123198,金埔转债,2024-09-05,0.6275805119735756,96.75,97.44,99.408,98.729,98.442,98.644,97.65,96.21,97.616,96.0,96.252,99.1,99.7,101.79,105.484,114.7,123.99,110.051,111.844,108.651,118.4,116.48,116.608,115.2,116.475,117.027,116.705,118.11,116.101,118.071,120.555,116.566,116.613,119.6,115.208,116.409,118.003,118.329,121.96,121.389,123.63,122.505,122.8,120.0,119.633,117.99,118.66,120.474,120.291,117.7,118.378,119.066,119.615,120.05,121.12,121.868,123.888,121.42,121.984,122.472,123.22
123204,金丹转债,2024-03-08,0.7201528175740209,109.0,113.4,116.17,116.8,115.521,119.399,122.9,123.5,123.864,122.06,120.288,118.758,118.163,116.1,117.5,118.801,121.2,122.062,122.532,119.11,121.268,120.398,121.0,120.5,115.288,111.013,115.365,115.52,115.923,113.411,114.0,114.969,115.85,117.194,120.515,123.1,142.0,136.5,132.945,132.321,131.26,126.005,126.2,129.188,128.3,130.15,129.36,128.468,126.508,124.042,126.0,127.136,125.798,124.919,124.35,123.915,121.582,121.19,119.9,117.626,119.7
123205,大叶转债,2024-03-06,0.5592203898050974,113.875,115.808,116.3,116.5,117.6,117.844,118.552,120.01,123.3,124.259,124.744,125.28,123.473,122.11,123.011,119.323,121.18,123.6,125.811,126.071,126.1,129.66,131.5,128.34,129.06,130.703,123.5,116.9,121.199,119.009,117.779,123.0,123.05,126.013,127.75,127.6,130.4,131.0,133.95,131.58,130.696,133.98,137.204,142.6,143.34,137.38,137.3,132.717,133.35,132.0,130.201,128.755,130.288,134.547,131.129,131.431,131.5,131.9,129.157,127.552,124.097
123207,冠中转债,2024-02-26,0.6340579710144928,109.699,114.7,113.169,114.6,113.799,113.306,110.82,111.44,111.156,111.166,112.4,113.66,113.631,113.38,114.662,116.63,116.498,117.33,116.71,115.005,113.885,113.9,111.097,112.63,114.5,115.51,115.66,115.514,114.131,114.825,113.725,114.334,114.285,110.058,105.702,109.549,109.015,108.1,106.66,107.529,108.373,108.967,108.2,108.34,110.09,113.369,114.777,114.152,116.5,114.5,113.2,111.478,110.38,110.958,111.15,111.1,110.01,111.69,110.95,111.0,111.318
123208,孩王转债,2024-02-23,0.6168384879725085,113.738,116.098,118.904,115.004,116.994,119.402,122.0,118.46,117.354,116.11,115.796,116.411,116.6,116.279,115.593,115.506,116.4,116.4,119.521,119.382,117.36,116.15,113.723,111.533,112.039,112.438,114.608,114.292,114.45,112.48,114.032,113.557,114.159,113.744,112.3,109.5,112.088,111.953,111.137,110.763,110.91,111.41,112.951,115.09,116.291,116.302,117.334,117.15,116.594,117.189,117.111,115.706,116.387,116.09,116.283,115.815,117.2,117.799,117.618,116.519,115.9
123215,铭利转债,2025-01-03,0.51309460181721,112.85,113.029,114.246,113.749,114.4,113.589,113.548,114.665,115.4,115.462,116.109,116.485,116.788,116.0,115.799,116.3,114.71,115.488,116.5,117.65,117.861,117.307,117.887,118.606,118.409,118.82,120.0,122.035,121.749,122.3,122.3,121.265,122.389,120.699,118.719,119.167,119.635,120.241,122.25,126.4,133.009,129.0,128.553,127.886,128.5,126.933,126.74,129.6,129.478,125.7,125.896,125.652,126.18,123.459,123.999,122.696,122.534,123.069,121.652,112.122,113.718
123216,科顺转债,2024-06-27,0.682261208576998,93.983,95.37,97.269,96.449,95.76,96.02,96.2,94.65,94.25,95.012,95.96,96.011,95.58,95.448,95.451,95.391,95.6,95.42,94.75,93.962,94.197,94.786,95.799,96.702,97.009,96.6,96.06,95.18,94.002,94.005,94.301,94.06,93.28,91.65,91.458,92.201,90.0,91.437,91.0,91.8,92.05,90.751,92.2,92.0,92.221,93.097,94.862,94.041,94.768,95.1,96.3,97.26,96.852,94.398,94.953,95.712,85.0,81.452,80.581,78.2,79.4
123220,易瑞转债,2024-09-18,0.6907536907536909,90.8,93.5,93.2,93.1,94.77,97.1,98.59,104.049,109.699,117.8,109.137,109.3,106.3,108.744,108.808,108.966,109.264,111.9,112.9,115.0,113.55,112.349,114.8,115.8,113.814,112.65,113.598,110.53,112.425,113.688,113.783,115.1,114.499,117.004,116.678,116.455,114.744,113.689,110.28,112.19,114.97,114.852,111.885,113.8,123.6,125.749,123.618,122.51,123.023,121.767,119.346,120.634,122.251,124.72,123.577,124.4,125.718,123.64,121.609,119.307,120.623
