bond_id,name,board_announce_date,meeting_date,effective_date,before_price,after_price,down_floor_price,ratio,is_deep,year,change_reason
110030,格力转债,,2019-09-27,2019-10-08,6.94,5.0,5.0,0.7204610951008645,True,2019.0,
110031,航信转债,,2019-12-25,2019-12-27,41.94,21.79,,0.5195517405817835,True,2019.0,
110033,国贸转债,,2019-11-11,2019-11-13,8.34,7.42,7.42,0.8896882494004796,False,2019.0,
110038,济川转债,,2020-03-02,2020-03-04,38.81,25.5,25.5,0.6570471527956712,True,2020.0,
110043,无锡转债,,2020-04-28,2020-04-30,6.52,5.97,5.97,0.9156441717791411,False,2020.0,
110043,无锡转债,,2018-05-18,2018-05-21,8.9,6.85,6.85,0.7696629213483145,False,2018.0,
110044,广电转债,,2024-06-03,2024-06-05,6.82,4.41,4.41,0.6466275659824047,True,2024.0,
110045,海澜转债,,2021-04-26,2021-04-28,11.75,7.3,7.3,0.6212765957446809,True,2021.0,
110047,山鹰转债,,2024-09-26,2024-09-30,2.25,1.54,1.53,0.6844444444444444,True,2024.0,
110047,山鹰转债,,2024-08-15,2024-08-19,2.32,2.25,1.44,0.9698275862068966,False,2024.0,
110047,山鹰转债,,2024-07-08,2024-07-10,2.37,2.32,1.47,0.9789029535864978,False,2024.0,
110047,山鹰转债,,2022-10-31,2022-11-02,3.19,2.4,2.39,0.7523510971786834,False,2022.0,
110052,贵广转债,,2024-05-10,2024-05-14,7.94,7.25,7.25,0.9130982367758186,False,2024.0,
110056,亨通转债,,2019-11-22,2019-11-26,21.64,15.68,15.62,0.7245841035120147,True,2019.0,
110058,永鼎转债,,2024-07-05,2024-07-09,5.04,3.78,3.77,0.75,True,2024.0,
110058,永鼎转债,,2019-12-18,2019-12-20,6.35,5.1,,0.8031496062992126,False,2019.0,
110060,天路转债,,2022-08-12,2022-08-16,6.99,5.42,5.42,0.7753934191702432,False,2022.0,
110060,天路转债,,2022-05-31,,,,,,False,2022.0,
110062,烽火转债,,2021-03-29,2021-03-31,25.65,22.6,18.87,0.8810916179337233,False,2021.0,
110063,鹰19转债,,2025-03-06,2025-03-10,2.24,1.76,1.76,0.7857142857142857,False,2025.0,
110063,鹰19转债,,2024-09-26,2024-09-30,2.25,2.24,1.53,0.9955555555555556,False,2024.0,
110063,鹰19转债,,2024-08-15,2024-08-19,2.32,2.25,1.44,0.9698275862068966,False,2024.0,
110063,鹰19转债,,2024-07-08,2024-07-10,2.37,2.32,1.47,0.9789029535864978,False,2024.0,
110063,鹰19转债,,2022-10-31,2022-11-02,3.15,2.4,2.39,0.7619047619047619,False,2022.0,
110064,建工转债,,2025-06-25,2025-06-27,4.25,4.07,4.063,0.9576470588235295,False,2025.0,
110064,建工转债,,2024-06-25,2024-06-27,4.47,4.26,4.253,0.9530201342281879,False,2024.0,
110067,华安转债,,2021-04-02,2021-04-07,8.67,7.1,6.6,0.8189158016147635,False,2021.0,
110070,凌钢转债,,2025-04-22,2025-04-24,2.59,1.97,1.97,0.7606177606177607,False,2025.0,
110072,广汇转债,,2024-05-21,2024-05-23,4.03,1.5,1.5,0.3722084367245657,True,2024.0,
110076,华海转债,,,,33.06,16.21,16.21,0.4903206291591046,True,,
110079,杭银转债,,2021-08-27,2021-08-30,16.71,12.99,12.99,0.7773788150807899,False,2021.0,
110081,闻泰转债,,2026-04-08,2026-04-10,43.6,32.66,32.66,0.7490825688073394,True,2026.0,
110081,闻泰转债,,2024-11-08,2024-11-12,96.49,43.6,43.593,0.45186029640377245,True,2024.0,
110082,宏发转债,,2024-11-01,2024-11-05,50.52,32.32,32.32,0.6397466349960411,True,2024.0,
110084,贵燃转债,,2022-05-13,2022-05-16,10.17,7.22,7.22,0.7099311701081612,True,2022.0,
110087,天业转债,,2025-09-01,2025-09-03,6.78,5.6,5.46,0.8259587020648966,False,2025.0,
110089,兴发转债,,2023-08-09,2023-08-11,38.55,30.0,24.5,0.7782101167315175,False,2023.0,
110094,众和转债,,2024-02-02,2024-02-06,8.2,7.04,7.03,0.8585365853658538,False,2024.0,
110095,双良转债,,2025-03-25,2025-03-27,7.2,6.18,5.95,0.8583333333333333,False,2025.0,
110095,双良转债,,2024-10-25,2024-10-29,11.81,7.2,4.51,0.6096528365791701,True,2024.0,
111000,起帆转债,,2025-09-08,2025-09-11,19.55,17.35,17.33,0.8874680306905371,False,2025.0,
111002,特纸转债,,2022-10-17,2022-10-19,18.2,14.7,14.68,0.8076923076923077,False,2022.0,
111003,聚合转债,,2024-11-07,2024-11-11,13.93,11.5,11.07,0.8255563531945441,False,2024.0,
111005,富春转债,,2022-12-23,2022-12-26,23.19,19.29,19.29,0.8318240620957308,False,2022.0,
111006,嵘泰转债,,2022-12-21,2022-12-23,31.18,27.34,27.34,0.876844130853111,False,2022.0,
111007,永和转债,,2024-08-05,2024-08-07,23.68,20.13,17.66,0.8500844594594594,False,2024.0,
111010,立昂转债,,2024-04-30,2024-05-07,44.96,33.58,22.29,0.7468861209964412,True,2024.0,
111015,东亚转债,,2024-04-01,2024-04-03,24.95,20.6,20.53,0.8256513026052105,False,2024.0,
111016,神通转债,,2024-07-18,,,,,,False,2024.0,
111019,宏柏转债,,2024-08-06,2024-08-07,7.53,5.45,5.44,0.7237715803452855,True,2024.0,
113008,电气转债,,2018-12-10,2018-12-12,10.28,5.19,5.19,0.5048638132295721,True,2018.0,
113010,江南转债,,2018-04-19,2018-04-23,9.3,6.1,5.01,0.6559139784946235,True,2018.0,
113012,骆驼转债,,2018-03-19,2018-03-22,16.72,13.5,13.24,0.8074162679425838,False,2018.0,
113016,小康转债,,2018-09-05,2018-09-07,22.76,17.2,17.2,0.7557117750439366,False,2018.0,
113017,吉视转债,,2023-08-02,2023-08-04,2.23,2.11,,0.9461883408071748,False,2023.0,
113017,吉视转债,,2021-12-06,2021-12-08,2.95,2.23,2.23,0.7559322033898305,False,2021.0,
